County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Maury County, TN",,,,," 96,387 ",0.0%, 487 , 666 ,17.7%,20.0%,,,,,,
"Maverick County, TX",,,,," 58,722 ",0.0%, 141 , 235 ,13.6%,15.0%,,,,,,
"Mayaguez, PR",,,,," 89,080 ",0.0%, 79 , 79 ,14.2%,9.6%,,,,,,
"Mayes County, OK",,,,," 41,100 ",0.0%, 535 , 358 ,24.3%,17.0%,,,,,,
"McClain County, OK",,,,," 40,474 ",0.0%, 689 , 766 ,19.4%,22.0%,,,,,,
"McCone County, MT",,,,," 1,664 ",0.0%, 721 , 481 ,40.0%,33.3%,,,,,,
"McCook County, SD",,,,," 5,586 ",0.0%, 680 ," 2,041 ",24.4%,36.2%,,,,,,
"McCormick County, SC",,,,," 9,463 ",0.0%, 180 , 137 ,11.1%,1.6%,,,,,,
"McCracken County, KY",,,,," 65,418 ",0.0%, 662 , 478 ,14.1%,17.5%,,,,,,
"McCulloch County, TX",,,,," 7,984 ",0.0%, 75 , 376 ,21.4%,8.2%,,,,,,
"McCurtain County, OK",,,,," 32,832 ",0.0%, 305 , 560 ,23.2%,28.4%,,,,,,
"McDonald County, MO",,,,," 22,837 ",0.0%, 201 , 158 ,16.9%,17.4%,,,,,,
"McDonough County, IL",,,,," 29,682 ",0.0%, 387 , 728 ,17.4%,25.6%,,,,,,
"McDowell County, WV",,,,," 17,624 ",0.0%, 301 ," 1,867 ",5.2%,19.6%,,,,,,
"McHenry County, IL",,,,," 307,774 ",0.1%, 453 , 593 ,16.3%,19.5%,,,,,,
"McHenry County, ND",,,,," 5,745 ",0.0%, 557 ," 1,166 ",26.3%,25.9%,,,,,,
"McIntosh County, GA",,,,," 14,378 ",0.0%, 118 , 63 ,16.4%,7.7%,,,,,,
"McIntosh County, ND",,,,," 2,497 ",0.0%, 240 ," 1,282 ",2.2%,6.2%,,,,,,
"McIntosh County, OK",,,,," 19,596 ",0.0%, 495 , 429 ,12.5%,18.7%,,,,,,
"McKean County, PA",,,,," 40,625 ",0.0%, 288 , 185 ,9.2%,15.0%,,,,,,
"McKenzie County, ND",,,,," 15,024 ",0.0%, 459 , 572 ,13.1%,9.3%,,,,,,
"McKinley County, NM",,,,," 71,367 ",0.1%," 1,352 ", 406 ,15.5%,18.3%,,,,,,
"McLean County, IL",,,,," 171,517 ",0.1%, 451 , 587 ,8.6%,10.1%,,,,,,
"McLean County, KY",,,,," 9,207 ",0.0%, 250 , 554 ,21.7%,19.5%,,,,,,
"McLean County, ND",,,,," 9,450 ",0.0%, 730 , 931 ,18.0%,21.6%,,,,,,
"McLennan County, TX",,,,," 256,623 ",0.1%, 340 , 454 ,12.8%,11.6%,,,,,,
"McLeod County, MN",,,,," 35,893 ",0.0%," 1,000 "," 1,309 ",14.6%,24.1%,,,,,,
"McMinn County, TN",,,,," 53,794 ",0.0%, 426 , 468 ,11.2%,18.9%,,,,,,
"McMullen County, TX",,,,, 743 ,0.0%, 269 , 135 ,0.0%,100.0%,,,,,,
"McNairy County, TN",,,,," 25,694 ",0.0%, 148 , 342 ,5.1%,13.3%,,,,,,
"McPherson County, KS",,,,," 28,542 ",0.0%, 462 , 960 ,28.3%,30.3%,,,,,,
"McPherson County, NE",,,,, 494 ,0.0%, -   , 405 ,0.0%,57.1%,,,,,,
"McPherson County, SD",,,,," 2,379 ",0.0%, 799 ," 1,429 ",9.2%,18.0%,,,,,,
"Meade County, KS",,,,," 4,033 ",0.0%, 570 ," 1,116 ",10.7%,42.0%,,,,,,
"Meade County, KY",,,,," 28,572 ",0.0%, 161 , 248 ,17.7%,14.6%,,,,,,
"Meade County, SD",,,,," 28,332 ",0.0%, 572 , 822 ,12.5%,17.4%,,,,,,
"Mecosta County, MI",,,,," 43,453 ",0.0%, 444 , 389 ,14.1%,13.6%,,,,,,
"Medina County, OH",,,,," 179,746 ",0.1%, 625 , 403 ,11.9%,11.8%,,,,,,
"Medina County, TX",,,,," 51,584 ",0.0%, 157 , 62 ,17.7%,6.7%,,,,,,
"Meeker County, MN",,,,," 23,222 ",0.0%," 1,201 "," 1,085 ",18.9%,17.5%,,,,,,
"Meigs County, TN",,,,," 12,422 ",0.0%, 274 , 290 ,19.1%,20.2%,,,,,,
"Mellette County, SD",,,,," 2,061 ",0.0%, 970 ," 1,310 ",19.2%,60.0%,,,,,,
"Menard County, IL",,,,," 12,196 ",0.0%, 549 , 574 ,15.3%,16.2%,,,,,,
"Menard County, TX",,,,," 2,138 ",0.0%, 374 , 608 ,4.9%,25.0%,,,,,,
"Menifee County, KY",,,,," 6,489 ",0.0%, 308 , 92 ,0.0%,5.3%,,,,,,
"Menominee County, MI",,,,," 22,780 ",0.0%, 492 , 601 ,11.8%,16.5%,,,,,,
"Menominee County, WI",,,,," 4,556 ",0.0%, 461 ," 1,997 ",7.0%,15.5%,,,,,,
"Merced County, CA",,,,," 277,680 ",0.1%, 203 , 200 ,11.2%,7.4%,,,,,,
"Mercer County, IL",,,,," 15,437 ",0.0%, 525 , 628 ,13.0%,18.6%,,,,,,
"Mercer County, KY",,,,," 21,933 ",0.0%, 497 , 374 ,16.1%,6.1%,,,,,,
"Mercer County, MO",,,,," 3,617 ",0.0%, 194 , 359 ,44.4%,16.0%,,,,,,
"Mercer County, ND",,,,," 8,187 ",0.0%, 513 ," 1,295 ",8.8%,14.3%,,,,,,
"Mercer County, OH",,,,," 41,172 ",0.0%, 563 ," 1,040 ",22.3%,25.3%,,,,,,
"Mercer County, PA",,,,," 109,424 ",0.1%, 470 , 479 ,15.7%,14.5%,,,,,,
"Merrick County, NE",,,,," 7,755 ",0.0%, 593 ," 1,070 ",33.8%,39.8%,,,,,,
"Mesa County, CO",,,,," 154,210 ",0.1%, 646 , 792 ,9.6%,12.1%,,,,,,
"Metcalfe County, KY",,,,," 10,071 ",0.0%, 338 , 367 ,5.1%,11.6%,,,,,,
"Miami County, IN",,,,," 35,516 ",0.0%, 749 , 769 ,16.2%,14.0%,,,,,,
"Miami County, KS",,,,," 34,237 ",0.0%, 429 , 324 ,15.0%,17.4%,,,,,,
"Miami County, OH",,,,," 106,987 ",0.1%, 729 , 569 ,18.0%,26.5%,,,,,,
"Miami-Dade County, FL",,,,," 2,716,940 ",1.1%, 458 , 413 ,10.6%,11.0%,,,,,,
"Midland County, MI",,,,," 83,156 ",0.0%, 446 , 699 ,7.5%,13.9%,,,,,,
"Midland County, TX",,,,," 176,832 ",0.1%, 396 , 205 ,23.4%,21.5%,,,,,,
"Mifflin County, PA",,,,," 46,138 ",0.0%, 928 , 774 ,20.8%,17.7%,,,,,,
"Millard County, UT",,,,," 13,188 ",0.0%, 660 , 402 ,24.8%,21.8%,,,,,,
"Mille Lacs County, MN",,,,," 26,277 ",0.0%, 993 , 993 ,16.6%,20.5%,,,,,,
"Miller County, AR",,,,," 43,257 ",0.0%, 245 , 268 ,9.1%,13.1%,,,,,,
"Miller County, MO",,,,," 25,619 ",0.0%, 336 , 519 ,14.7%,27.3%,,,,,,
"Mills County, IA",,,,," 15,109 ",0.0%, 596 ," 1,258 ",16.3%,20.2%,,,,,,
"Mills County, TX",,,,," 4,873 ",0.0%, 308 , 123 ,5.6%,10.5%,,,,,,
"Milwaukee County, WI",,,,," 945,726 ",0.6%, 685 , 709 ,12.5%,17.0%,,,,,,
"Miner County, SD",,,,," 2,216 ",0.0%, 316 , 451 ,14.3%,37.0%,,,,,,
"Mineral County, CO",,,,, 769 ,0.0%," 1,430 ", -   ,7.7%,0.0%,,,,,,
"Mineral County, MT",,,,," 4,397 ",0.0%, 546 , 250 ,11.4%,10.3%,,,,,,
"Mineral County, NV",,,,," 4,505 ",0.0%, 755 , 266 ,16.9%,4.2%,,,,,,
"Mineral County, WV",,,,," 26,868 ",0.0%, 979 ," 1,143 ",15.2%,11.9%,,,,,,
"Minidoka County, ID",,,,," 21,039 ",0.0%, 518 , 656 ,28.9%,31.4%,,,,,,
"Minnehaha County, SD",,,,," 193,134 ",0.2%, 887 ," 1,235 ",17.3%,18.0%,,,,,,
"Missaukee County, MI",,,,," 15,118 ",0.0%, 298 , 291 ,20.6%,13.4%,,,,,,
"Mississippi County, AR",,,,," 40,651 ",0.0%, 448 , 485 ,20.0%,18.1%,,,,,,
"Mississippi County, MO",,,,," 13,180 ",0.0%," 1,237 ", 941 ,32.9%,26.3%,,,,,,
"Missoula County, MT",,,,," 119,600 ",0.1%, 446 , 459 ,14.7%,30.6%,,,,,,
"Mitchell County, IA",,,,," 10,586 ",0.0%, 756 ," 1,332 ",17.5%,22.0%,,,,,,
"Mitchell County, KS",,,,," 5,979 ",0.0%, 418 , 920 ,35.2%,16.5%,,,,,,
"Mitchell County, NC",,,,," 14,964 ",0.0%, 388 , 501 ,14.4%,28.7%,,,,,,
"Mitchell County, TX",,,,," 8,545 ",0.0%, 398 , 363 ,32.4%,28.3%,,,,,,
"Moca, PR",,,,," 40,109 ",0.0%, 214 , 202 ,11.1%,19.2%,,,,,,
"Moffat County, CO",,,,," 13,283 ",0.0%, 519 , 452 ,15.9%,17.6%,,,,,,
"Mohave County, AZ",,,,," 212,181 ",0.1%, 265 , 186 ,12.0%,14.2%,,,,,,
"Moniteau County, MO",,,,," 16,132 ",0.0%, 614 ," 1,004 ",29.4%,32.1%,,,,,,
"Monona County, IA",,,,," 8,615 ",0.0%, 557 , 499 ,24.4%,23.4%,,,,,,
"Monroe County, FL",,,,," 74,228 ",0.0%, 307 , 331 ,8.8%,11.6%,,,,,,
"Monroe County, GA",,,,," 27,578 ",0.0%, 120 , 141 ,16.2%,13.8%,,,,,,
"Monroe County, IA",,,,," 7,707 ",0.0%, 467 , 636 ,26.3%,24.0%,,,,,,
"Monroe County, IL",,,,," 34,637 ",0.0%, 901 , 803 ,14.9%,18.5%,,,,,,
"Monroe County, IN",,,,," 148,431 ",0.0%, 296 , 458 ,6.6%,3.9%,,,,,,
"Monroe County, KY",,,,," 10,650 ",0.0%, 385 , 986 ,9.5%,11.9%,,,,,,
"Monroe County, MI",,,,," 150,500 ",0.1%, 567 , 551 ,18.7%,15.6%,,,,,,
"Monroe County, MO",,,,," 8,644 ",0.0%, 486 , 555 ,21.4%,24.3%,,,,,,
"Monroe County, MS",,,,," 35,252 ",0.0%, 281 , 340 ,15.5%,11.6%,,,,,,
"Monroe County, OH",,,,," 13,654 ",0.0%, 513 , 286 ,18.0%,20.8%,,,,,,
"Monroe County, PA",,,,," 170,271 ",0.0%, 293 , 171 ,11.7%,9.8%,,,,,,
"Monroe County, TN",,,,," 46,545 ",0.0%, 378 , 365 ,16.9%,15.0%,,,,,,
"Monroe County, WI",,,,," 46,253 ",0.0%, 633 , 787 ,17.2%,21.9%,,,,,,
"Montague County, TX",,,,," 19,818 ",0.0%, 575 , 328 ,20.0%,31.7%,,,,,,
"Montcalm County, MI",,,,," 63,888 ",0.0%, 679 , 470 ,8.9%,6.3%,,,,,,
"Monterey County, CA",,,,," 434,061 ",0.1%, 245 , 172 ,8.2%,10.6%,,,,,,
"Montezuma County, CO",,,,," 26,183 ",0.0%, 500 , 516 ,9.1%,12.0%,,,,,,
"Montgomery County, AL",,,,," 226,486 ",0.0%, 131 , 160 ,13.8%,13.9%,,,,,,
"Montgomery County, AR",,,,," 8,986 ",0.0%, 590 , 200 ,31.6%,21.3%,,,,,,
"Montgomery County, GA",,,,," 9,172 ",0.0%, 76 , 120 ,13.5%,16.1%,,,,,,
"Montgomery County, IA",,,,," 9,917 ",0.0%, 534 , 837 ,21.7%,23.7%,,,,,,
"Montgomery County, IL",,,,," 28,414 ",0.0%, 391 , 401 ,5.7%,9.7%,,,,,,
"Montgomery County, IN",,,,," 38,338 ",0.0%, 689 , 516 ,15.1%,12.3%,,,,,,
"Montgomery County, KS",,,,," 31,829 ",0.0%, 500 , 342 ,20.8%,15.2%,,,,,,
"Montgomery County, KY",,,,," 28,157 ",0.0%, 291 , 188 ,12.4%,8.0%,,,,,,
"Montgomery County, MO",,,,," 11,551 ",0.0%, 442 , 320 ,19.0%,18.6%,,,,,,
"Montgomery County, MS",,,,," 9,775 ",0.0%, 286 , 583 ,7.6%,17.6%,,,,,,
"Montgomery County, NC",,,,," 27,173 ",0.0%, 213 , 180 ,10.8%,11.0%,,,,,,
"Montgomery County, OH",,,,," 531,687 ",0.3%, 590 , 503 ,20.3%,17.6%,,,,,,
"Montgomery County, TN",,,,," 208,993 ",0.1%, 259 , 306 ,9.3%,11.6%,,,,,,
"Montgomery County, TX",,,,," 607,391 ",0.1%, 143 , 189 ,10.1%,13.5%,,,,,,
"Montmorency County, MI",,,,," 9,328 ",0.0%, 568 , 375 ,17.3%,10.4%,,,,,,
"Montrose County, CO",,,,," 42,758 ",0.0%, 606 , 243 ,22.6%,17.9%,,,,,,
"Moody County, SD",,,,," 6,576 ",0.0%, 532 , 715 ,22.4%,17.8%,,,,,,
"Moore County, TN",,,,," 6,488 ",0.0%, 539 , 478 ,15.0%,20.7%,,,,,,
"Moore County, TX",,,,," 20,940 ",0.0%, 248 , 296 ,12.8%,20.0%,,,,,,
"Mora County, NM",,,,," 4,521 ",0.0%, 66 , 133 ,5.3%,11.3%,,,,,,
"Morehouse Parish, LA",,,,," 24,874 ",0.0%, 712 , 643 ,14.6%,20.0%,,,,,,
"Morgan County, AL",,,,," 119,679 ",0.0%, 402 , 280 ,15.7%,14.8%,,,,,,
"Morgan County, CO",,,,," 29,068 ",0.0%, 688 , 705 ,14.6%,24.6%,,,,,,
"Morgan County, GA",,,,," 19,276 ",0.0%, 73 , 57 ,4.8%,10.6%,,,,,,
"Morgan County, IL",,,,," 33,658 ",0.0%, 784 ," 1,031 ",13.8%,16.3%,,,,,,
"Morgan County, IN",,,,," 70,489 ",0.0%, 505 , 481 ,15.5%,16.6%,,,,,,
"Morgan County, KY",,,,," 13,309 ",0.0%, 398 , 338 ,10.9%,14.1%,,,,,,
"Morgan County, MO",,,,," 20,627 ",0.0%, 325 , 417 ,21.4%,21.8%,,,,,,
"Morgan County, OH",,,,," 14,508 ",0.0%, 455 , 310 ,23.9%,11.9%,,,,,,
"Morgan County, TN",,,,," 21,403 ",0.0%, 425 , 322 ,12.2%,11.9%,,,,,,
"Morgan County, UT",,,,," 12,124 ",0.0%, 544 , 759 ,22.1%,20.4%,,,,,,
"Morgan County, WV",,,,," 17,884 ",0.0%, 207 , 168 ,9.1%,10.1%,,,,,,
"Morovis, PR",,,,," 32,610 ",0.0%, 190 , 144 ,0.0%,19.2%,,,,,,
"Morrill County, NE",,,,," 4,642 ",0.0%," 1,486 "," 1,486 ",26.7%,44.2%,,,,,,
"Morris County, KS",,,,," 5,620 ",0.0%, 338 , 427 ,13.3%,15.8%,,,,,,
"Morris County, TX",,,,," 12,388 ",0.0%, 89 , 73 ,17.6%,8.5%,,,,,,
"Morrison County, MN",,,,," 33,386 ",0.0%, 806 , 899 ,13.7%,16.4%,,,,,,
"Morrow County, OH",,,,," 35,328 ",0.0%, 504 , 306 ,15.1%,14.2%,,,,,,
"Morrow County, OR",,,,," 11,603 ",0.0%, 362 , 129 ,13.6%,6.5%,,,,,,
"Morton County, KS",,,,," 2,587 ",0.0%," 2,281 ", 734 ,11.5%,13.6%,,,,,,
"Morton County, ND",,,,," 31,364 ",0.0%, 972 ," 1,358 ",10.3%,8.8%,,,,,,
"Motley County, TX",,,,," 1,200 ",0.0%, 83 , -   ,75.0%,50.0%,,,,,,
"Moultrie County, IL",,,,," 14,501 ",0.0%, 586 , 759 ,7.3%,11.0%,,,,,,
"Mountrail County, ND",,,,," 10,545 ",0.0%, 825 ," 1,517 ",12.2%,13.8%,,,,,,
"Mower County, MN",,,,," 40,062 ",0.0%, 794 , 941 ,15.8%,11.6%,,,,,,
"Muhlenberg County, KY",,,,," 30,622 ",0.0%, 353 , 356 ,18.2%,22.5%,,,,,,
"Multnomah County, OR",,,,," 812,855 ",0.2%, 260 , 192 ,10.4%,10.2%,,,,,,
"Murray County, GA",,,,," 40,096 ",0.0%, 476 , 494 ,23.3%,16.1%,,,,,,
"Murray County, MN",,,,," 8,194 ",0.0%, 842 ," 1,147 ",18.1%,14.1%,,,,,,
"Murray County, OK",,,,," 14,073 ",0.0%, 625 , 512 ,10.1%,20.7%,,,,,,
"Muscatine County, IA",,,,," 42,664 ",0.0%, 572 , 895 ,17.8%,21.7%,,,,,,
"Muskegon County, MI",,,,," 173,566 ",0.1%, 621 , 870 ,19.5%,22.3%,,,,,,
"Muskingum County, OH",,,,," 86,215 ",0.0%, 547 , 595 ,15.0%,15.0%,,,,,,
"Muskogee County, OK",,,,," 67,997 ",0.0%, 634 ," 1,068 ",20.3%,41.9%,,,,,,
"Musselshell County, MT",,,,," 4,633 ",0.0%, 302 , 345 ,12.5%,17.2%,,,,,,
"Nacogdoches County, TX",,,,," 65,204 ",0.0%, 60 , 69 ,13.9%,14.3%,,,,,,
"Naguabo, PR",,,,," 26,720 ",0.0%, 75 , 82 ,60.0%,5.9%,,,,,,
"Nance County, NE",,,,," 3,519 ",0.0%," 1,080 "," 1,051 ",17.1%,43.2%,,,,,,
"Nantucket County, MA",,,,," 11,399 ",0.0%, 228 , 386 ,2.6%,5.4%,,,,,,
"Naranjito, PR",,,,," 30,402 ",0.0%, 247 , 128 ,0.0%,7.7%,,,,,,
"Nash County, NC",,,,," 94,298 ",0.0%, 256 , 233 ,10.0%,10.1%,,,,,,
"Natchitoches Parish, LA",,,,," 38,158 ",0.0%, 346 , 485 ,11.9%,11.2%,,,,,,
"Natrona County, WY",,,,," 79,858 ",0.1%, 847 ," 1,370 ",23.3%,31.0%,,,,,,
"Navajo County, AZ",,,,," 110,924 ",0.0%, 449 , 330 ,13.1%,11.7%,,,,,,
"Navarro County, TX",,,,," 50,113 ",0.0%, 184 , 164 ,10.0%,13.8%,,,,,,
"Nelson County, KY",,,,," 46,233 ",0.0%, 411 , 567 ,13.2%,16.6%,,,,,,
"Nelson County, ND",,,,," 2,879 ",0.0%," 1,111 "," 1,980 ",13.9%,19.7%,,,,,,
"Nemaha County, KS",,,,," 10,231 ",0.0%," 1,359 "," 1,994 ",32.9%,36.5%,,,,,,
"Nemaha County, NE",,,,," 6,972 ",0.0%, 244 , 430 ,9.6%,5.6%,,,,,,
"Neosho County, KS",,,,," 16,007 ",0.0%, 531 , 643 ,9.9%,15.5%,,,,,,
"Neshoba County, MS",,,,," 29,118 ",0.0%, 155 , 412 ,7.9%,13.6%,,,,,,
"Ness County, KS",,,,," 2,750 ",0.0%," 1,527 "," 1,455 ",55.0%,24.2%,,,,,,
"New Castle County, DE",,,,," 558,753 ",0.2%, 384 , 279 ,6.0%,6.0%,,,,,,
"New Haven County, CT",,,,," 854,757 ",0.2%, 313 , 377 ,11.0%,11.4%,,,,,,
"New Madrid County, MO",,,,," 17,076 ",0.0%, 679 ," 1,072 ",28.1%,38.3%,,,,,,
"Newaygo County, MI",,,,," 48,980 ",0.0%, 541 , 492 ,15.7%,16.7%,,,,,,
"Newberry County, SC",,,,," 38,440 ",0.0%, 166 , 395 ,9.6%,14.1%,,,,,,
"Newton County, AR",,,,," 7,753 ",0.0%, 503 , 426 ,16.3%,11.5%,,,,,,
"Newton County, GA",,,,," 111,744 ",0.0%, 123 , 100 ,10.4%,9.9%,,,,,,
"Newton County, IN",,,,," 13,984 ",0.0%, 372 , 779 ,23.3%,25.1%,,,,,,
"Newton County, MO",,,,," 58,236 ",0.0%, 294 , 428 ,21.8%,21.2%,,,,,,
"Newton County, MS",,,,," 21,018 ",0.0%, 147 , 257 ,10.9%,10.5%,,,,,,
"Nez Perce County, ID",,,,," 40,408 ",0.0%, 589 ," 1,188 ",19.9%,26.0%,,,,,,
"Nicholas County, KY",,,,," 7,269 ",0.0%, 289 , 193 ,6.8%,18.0%,,,,,,
"Nicollet County, MN",,,,," 34,274 ",0.0%, 581 , 729 ,9.7%,14.6%,,,,,,
"Niobrara County, WY",,,,," 2,356 ",0.0%," 1,231 "," 1,570 ",40.0%,60.0%,,,,,,
"Noble County, IN",,,,," 47,744 ",0.0%, 605 , 888 ,15.3%,18.1%,,,,,,
"Noble County, OH",,,,," 14,424 ",0.0%, 707 , 874 ,25.9%,34.2%,,,,,,
"Noble County, OK",,,,," 11,131 ",0.0%," 1,644 ", 593 ,18.2%,15.9%,,,,,,
"Nobles County, MN",,,,," 21,629 ",0.0%, 620 , 828 ,19.8%,28.1%,,,,,,
"Nodaway County, MO",,,,," 22,092 ",0.0%, 616 , 887 ,30.9%,32.2%,,,,,,
"Nolan County, TX",,,,," 14,714 ",0.0%, 455 , 557 ,29.8%,36.4%,,,,,,
"Nome Census Area, AK",,,,," 10,004 ",0.0%, 500 , 140 ,3.2%,0.8%,,,,,,
"Norman County, MN",,,,," 6,375 ",0.0%, 753 , 816 ,13.7%,15.6%,,,,,,
"North Slope Borough, AK",,,,," 9,832 ",0.0%, 498 , 346 ,18.4%,7.0%,,,,,,
"Northampton County, NC",,,,," 19,483 ",0.0%, 395 , 205 ,10.6%,9.3%,,,,,,
"Northampton County, PA",,,,," 305,285 ",0.1%, 405 , 268 ,10.4%,8.3%,,,,,,
"Northumberland County, PA",,,,," 90,843 ",0.0%, 430 , 262 ,11.5%,8.4%,,,,,,
"Norton County, KS",,,,," 5,361 ",0.0%, 560 ," 1,157 ",32.9%,31.2%,,,,,,
"Nowata County, OK",,,,," 10,076 ",0.0%, 407 , 337 ,20.8%,17.6%,,,,,,
"Nuckolls County, NE",,,,," 4,148 ",0.0%, 771 , 458 ,22.7%,22.2%,,,,,,
"Nueces County, TX",,,,," 362,294 ",0.1%, 221 , 142 ,10.3%,12.4%,,,,,,
"Nye County, NV",,,,," 46,523 ",0.0%, 436 , 310 ,21.5%,24.6%,,,,,,
"Oakland County, MI",,,,," 1,257,584 ",0.5%, 423 , 412 ,13.9%,13.3%,,,,,,
"Obion County, TN",,,,," 30,069 ",0.0%, 642 , 745 ,24.8%,18.8%,,,,,,
"O'Brien County, IA",,,,," 13,753 ",0.0%, 763 , 713 ,29.7%,44.1%,,,,,,
"Oceana County, MI",,,,," 26,467 ",0.0%, 571 , 552 ,20.8%,18.9%,,,,,,
"Ochiltree County, TX",,,,," 9,836 ",0.0%, 610 ," 1,779 ",0.0%,9.1%,,,,,,
"Oconee County, SC",,,,," 79,546 ",0.0%, 382 , 241 ,14.9%,10.6%,,,,,,
"Oconto County, WI",,,,," 37,930 ",0.0%, 374 , 709 ,11.6%,16.5%,,,,,,
"Ogemaw County, MI",,,,," 20,997 ",0.0%, 567 , 467 ,11.5%,9.4%,,,,,,
"Oglala Lakota County, SD",,,,," 14,177 ",0.0%, 712 ," 1,072 ",4.0%,9.5%,,,,,,
"Ogle County, IL",,,,," 50,643 ",0.0%, 565 , 748 ,20.6%,24.7%,,,,,,
"Oglethorpe County, GA",,,,," 15,259 ",0.0%, 177 , 66 ,18.9%,2.1%,,,,,,
"Ohio County, IN",,,,," 5,875 ",0.0%, 340 , 613 ,7.1%,11.8%,,,,,,
"Ohio County, KY",,,,," 23,994 ",0.0%, 433 , 350 ,18.4%,9.6%,,,,,,
"Ohio County, WV",,,,," 41,411 ",0.0%, 565 , 676 ,13.4%,12.9%,,,,,,
"Okaloosa County, FL",,,,," 210,738 ",0.1%, 246 , 277 ,10.2%,10.1%,,,,,,
"Okeechobee County, FL",,,,," 42,168 ",0.0%, 159 , 171 ,11.2%,6.2%,,,,,,
"Okfuskee County, OK",,,,," 11,993 ",0.0%," 1,242 "," 1,292 ",63.4%,55.3%,,,,,,
"Oklahoma County, OK",,,,," 797,434 ",0.4%, 602 , 482 ,17.8%,18.2%,,,,,,
"Okmulgee County, OK",,,,," 38,465 ",0.0%, 367 , 325 ,14.0%,19.3%,,,,,,
"Oldham County, KY",,,,," 66,799 ",0.0%, 392 , 272 ,17.7%,13.4%,,,,,,
"Oldham County, TX",,,,," 2,112 ",0.0%, 284 , -   ,23.1%,35.3%,,,,,,
"Oliver County, ND",,,,," 1,959 ",0.0%, 306 , 357 ,16.2%,10.8%,,,,,,
"Olmsted County, MN",,,,," 158,293 ",0.1%, 408 , 761 ,8.4%,9.2%,,,,,,
"Oneida County, ID",,,,," 4,531 ",0.0%, 419 , 463 ,12.3%,1.4%,,,,,,
"Oneida County, WI",,,,," 35,595 ",0.0%, 430 , 941 ,19.0%,24.4%,,,,,,
"Onslow County, NC",,,,," 197,938 ",0.1%, 299 , 184 ,11.1%,8.0%,,,,,,
"Ontonagon County, MI",,,,," 5,720 ",0.0%, 315 , 507 ,15.5%,15.0%,,,,,,
"Orange County, IN",,,,," 19,646 ",0.0%, 382 , 402 ,15.9%,12.4%,,,,,,
"Orange County, TX",,,,," 83,396 ",0.0%, 42 , 107 ,16.7%,8.2%,,,,,,
"Oregon County, MO",,,,," 10,529 ",0.0%, 190 , 332 ,15.7%,22.2%,,,,,,
"Osage County, KS",,,,," 15,949 ",0.0%, 558 , 809 ,24.6%,26.6%,,,,,,
"Osage County, MO",,,,," 13,615 ",0.0%, 580 , 859 ,12.6%,22.3%,,,,,,
"Osage County, OK",,,,," 46,963 ",0.0%, 322 , 317 ,17.9%,15.6%,,,,,,
"Osborne County, KS",,,,," 3,421 ",0.0%, 526 , 292 ,26.9%,0.0%,,,,,,
"Osceola County, FL",,,,," 375,751 ",0.1%, 282 , 279 ,10.4%,9.9%,,,,,,
"Osceola County, IA",,,,," 5,958 ",0.0%, 621 ," 1,125 ",22.8%,43.3%,,,,,,
"Osceola County, MI",,,,," 23,460 ",0.0%, 418 , 320 ,16.8%,11.9%,,,,,,
"Oscoda County, MI",,,,," 8,241 ",0.0%, 461 , 267 ,16.2%,10.2%,,,,,,
"Otero County, CO",,,,," 18,278 ",0.0%," 1,050 ", 542 ,13.8%,12.9%,,,,,,
"Otoe County, NE",,,,," 16,012 ",0.0%, 400 , 899 ,16.1%,26.3%,,,,,,
"Otsego County, MI",,,,," 24,668 ",0.0%, 474 , 559 ,10.4%,13.5%,,,,,,
"Ottawa County, KS",,,,," 5,704 ",0.0%, 877 , 561 ,14.9%,7.4%,,,,,,
"Ottawa County, MI",,,,," 291,830 ",0.2%, 637 , 832 ,16.4%,16.3%,,,,,,
"Ottawa County, OH",,,,," 40,525 ",0.0%, 452 , 439 ,15.6%,15.9%,,,,,,
"Ottawa County, OK",,,,," 31,127 ",0.0%, 443 , 392 ,16.0%,20.4%,,,,,,
"Otter Tail County, MN",,,,," 58,746 ",0.1%," 1,004 "," 1,106 ",14.3%,17.8%,,,,,,
"Ouachita County, AR",,,,," 23,382 ",0.0%, 590 , 411 ,12.4%,16.2%,,,,,,
"Ouachita Parish, LA",,,,," 153,279 ",0.1%, 438 , 767 ,15.2%,16.4%,,,,,,
"Ouray County, CO",,,,," 4,952 ",0.0%, 202 , 848 ,3.5%,6.5%,,,,,,
"Outagamie County, WI",,,,," 187,885 ",0.1%, 419 , 623 ,10.6%,13.8%,,,,,,
"Overton County, TN",,,,," 22,241 ",0.0%, 252 , 315 ,8.4%,13.2%,,,,,,
"Owen County, IN",,,,," 20,799 ",0.0%, 495 , 490 ,7.2%,6.2%,,,,,,
"Owsley County, KY",,,,," 4,415 ",0.0%," 1,042 ", 906 ,31.8%,26.5%,,,,,,
"Owyhee County, ID",,,,," 11,823 ",0.0%, 880 , 550 ,28.0%,40.5%,,,,,,
"Ozaukee County, WI",,,,," 89,221 ",0.0%, 461 , 785 ,12.2%,17.6%,,,,,,
"Pacific County, WA",,,,," 22,471 ",0.0%, 298 , 147 ,15.1%,10.5%,,,,,,
"Page County, IA",,,,," 15,107 ",0.0%, 410 ," 1,787 ",16.7%,30.9%,,,,,,
